Current Time,Boolean Array (Before),Vibration Start Times (Before),Difference (Each Index),Dynamic Intervals (Each Index),Elapsed Times (Each Index),Is Changed By Algo (Each Index),Boolean Array (After),Vibration Start Times (After)
1711609647.670496,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092]",0,0,0.10140395164489746,True,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1711609648.696459, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092]"
1711609647.670496,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092]",0,0,0.10140395164489746,False,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1711609648.696459, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092]"
1711609647.670496,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092]",0,0,0.10140395164489746,False,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1711609648.696459, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092]"
1711609647.670496,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092]",0,0,0.10140395164489746,False,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1711609648.696459, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092]"
1711609647.670496,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092]",0,0,0.10140395164489746,False,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1711609648.696459, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092]"
1711609647.670496,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092]",0,0,0.10140395164489746,False,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1711609648.696459, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092]"
1711609647.670496,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092]",0,0,0.10140395164489746,False,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1711609648.696459, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092]"
1711609647.670496,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092]",0,0,0.10140395164489746,False,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1711609648.696459, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092]"
1711609647.670496,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092]",0,0,0.10140395164489746,False,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1711609648.696459, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092]"
1711609647.670496,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092]",0,0,0.10140395164489746,False,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1711609648.696459, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092, 1711609647.569092]"
